"Nombre","Foto","Posicion","Nacionalidades","Edad","Club","ValorMasAlto","ValorActual","Ultimarevisión"
"Morten Frendrup","https://img.a.transfermarkt.technology/portrait/medium/503871-1707815910.jpg?lm=1","Mediocentro","Dinamarca","24","Génova","20,00 mill. €","20,00 mill. €","18/12/2024"
"Ange-Yoan Bonny","https://img.a.transfermarkt.technology/portrait/medium/827734-1697613908.jpg?lm=1","Delantero centro","Francia, Costa de Marfil","21","Parma","20,00 mill. €","20,00 mill. €","18/12/2024"
"Lazar Samardžić","https://img.a.transfermarkt.technology/portrait/medium/528833-1677073457.jpg?lm=1","Mediocentro ofensivo","Serbia, Alemania","23","Atalanta de Bérgamo","20,00 mill. €","20,00 mill. €","18/12/2024"
"Matteo Ruggeri","https://img.a.transfermarkt.technology/portrait/medium/616631-1742497680.jpg?lm=1","Interior izquierdo","Italia","22","Atalanta de Bérgamo","20,00 mill. €","20,00 mill. €","18/12/2024"
"Jaka Bijol","https://img.a.transfermarkt.technology/portrait/medium/371851-1695029407.jpg?lm=1","Defensa central","Eslovenia","26","Udinese","18,00 mill. €","18,00 mill. €","18/12/2024"
"Nicolò Fagioli","https://img.a.transfermarkt.technology/portrait/medium/432090-1695025310.jpg?lm=1","Mediocentro","Italia","24","Fiorentina","35,00 mill. €","18,00 mill. €","25/03/2025"
"Lucas Beltrán","https://img.a.transfermarkt.technology/portrait/medium/628366-1692881138.jpg?lm=1","Mediocentro ofensivo","Argentina, Italia","24","Fiorentina","18,00 mill. €","18,00 mill. €","18/12/2024"
"Michele Di Gregorio","https://img.a.transfermarkt.technology/portrait/medium/301238-1730125609.jpg?lm=1","Portero","Italia","27","Juventus de Turín","18,00 mill. €","18,00 mill. €","18/12/2024"
"Lloyd Kelly","https://img.a.transfermarkt.technology/portrait/medium/480116-1739281396.jpg?lm=1","Defensa central","Inglaterra, Jamaica","26","Juventus de Turín","18,00 mill. €","18,00 mill. €","16/12/2024"
"Renato Veiga","https://img.a.transfermarkt.technology/portrait/medium/805714-1749414999.jpg?lm=1","Defensa central","Portugal, Cabo Verde","21","Juventus de Turín","18,00 mill. €","18,00 mill. €","25/03/2025"
